date,action,symbol,quantity,price
2025-09-01,BUY,AAPL,200,180.00
2025-09-02,BUY,AAPL,200,175.00
2025-09-03,BUY,AAPL,200,170.00
2025-09-05,BUY,AAPL,200,165.00
2025-09-08,BUY,AAPL,200,160.00
2025-09-15,SELL,AAPL,1000,155.00
2025-09-16,BUY,TSLA,100,250.00
2025-09-17,BUY,TSLA,100,240.00
2025-09-18,BUY,TSLA,100,230.00
2025-09-19,BUY,TSLA,100,220.00
2025-09-22,BUY,TSLA,100,210.00
2025-09-29,SELL,TSLA,500,200.00
2025-09-30,BUY,NVDA,150,450.00
2025-10-01,BUY,NVDA,150,430.00
2025-10-02,BUY,NVDA,150,410.00
2025-10-03,BUY,NVDA,150,390.00
2025-10-06,BUY,NVDA,150,370.00
2025-10-13,SELL,NVDA,750,350.00
2025-10-14,BUY,META,80,520.00
2025-10-15,BUY,META,80,500.00
2025-10-16,BUY,META,80,480.00
2025-10-17,BUY,META,80,460.00
2025-10-20,BUY,META,80,440.00
2025-10-27,SELL,META,400,420.00
2025-10-28,BUY,AMZN,120,180.00
2025-10-29,BUY,AMZN,120,170.00
2025-10-30,BUY,AMZN,120,160.00
2025-10-31,BUY,AMZN,120,150.00
2025-11-03,BUY,AMZN,120,140.00
2025-11-10,SELL,AMZN,600,130.00
2025-11-11,BUY,GOOGL,30,2800.00
2025-11-12,BUY,GOOGL,30,2700.00
2025-11-13,BUY,GOOGL,30,2600.00
2025-11-14,BUY,GOOGL,30,2500.00
2025-11-17,BUY,GOOGL,30,2400.00
2025-11-24,SELL,GOOGL,150,2300.00
2025-11-25,BUY,MSFT,100,300.00
2025-11-26,BUY,MSFT,100,290.00
2025-11-27,BUY,MSFT,100,280.00
2025-11-28,BUY,MSFT,100,270.00
2025-12-01,BUY,MSFT,100,260.00
2025-12-08,SELL,MSFT,500,250.00
