date,action,symbol,quantity,price
2025-09-01,BUY,TSLA,1000,250.00
2025-09-01,SELL,TSLA,1000,248.00
2025-09-01,BUY,NVDA,500,450.00
2025-09-01,SELL,NVDA,500,445.00
2025-09-01,BUY,AAPL,2000,180.00
2025-09-01,SELL,AAPL,2000,178.50
2025-09-01,BUY,SPY,3000,420.00
2025-09-01,SELL,SPY,3000,418.00
2025-09-01,BUY,QQQ,4000,380.00
2025-09-01,SELL,QQQ,4000,375.00
2025-09-02,BUY,MSFT,100,300.00
2025-09-02,SELL,MSFT,100,299.00
2025-09-02,BUY,AMC,2000,15.00
2025-09-02,SELL,AMC,2000,13.50
2025-09-03,BUY,GME,500,45.00
2025-09-03,SELL,GME,500,42.00
2025-09-03,BUY,BBBY,1000,8.00
2025-09-03,SELL,BBBY,1000,7.20
2025-09-04,BUY,DOGE,50000,0.08
2025-09-04,SELL,DOGE,50000,0.075
2025-09-04,BUY,SHIB,1000000,0.00001
2025-09-04,SELL,SHIB,1000000,0.000008
2025-09-05,BUY,RIVN,400,25.00
2025-09-05,SELL,RIVN,400,23.50
2025-09-05,BUY,LCID,600,12.00
2025-09-05,SELL,LCID,600,11.20
2025-09-06,BUY,AI,300,35.00
2025-09-06,SELL,AI,300,33.50
2025-09-06,BUY,C3AI,200,28.00
2025-09-06,SELL,C3AI,200,26.80
2025-09-09,BUY,PLTR,800,18.00
2025-09-09,SELL,PLTR,800,17.10
2025-09-09,BUY,SNOW,100,180.00
2025-09-09,SELL,SNOW,100,175.00
2025-09-10,BUY,COIN,200,85.00
2025-09-10,SELL,COIN,200,82.50
2025-09-10,BUY,MARA,400,12.00
2025-09-10,SELL,MARA,400,11.30
2025-09-11,BUY,RIOT,500,10.00
2025-09-11,SELL,RIOT,500,9.40
2025-09-11,BUY,HOOD,600,15.00
2025-09-11,SELL,HOOD,600,14.20
2025-09-12,BUY,UPST,150,30.00
2025-09-12,SELL,UPST,150,28.50
2025-09-12,BUY,AFRM,200,22.00
2025-09-12,SELL,AFRM,200,20.80
2025-09-13,BUY,SOFI,400,8.00
2025-09-13,SELL,SOFI,400,7.60
2025-09-13,BUY,OPEN,300,4.00
2025-09-13,SELL,OPEN,300,3.70
2025-09-16,BUY,RBLX,250,40.00
2025-09-16,SELL,RBLX,250,38.50
2025-09-16,BUY,MTTR,400,15.00
2025-09-16,SELL,MTTR,400,14.20
2025-09-17,BUY,BYND,300,25.00
2025-09-17,SELL,BYND,300,23.80
2025-09-17,BUY,OATLY,500,6.00
2025-09-17,SELL,OATLY,500,5.70
2025-09-18,BUY,SPCE,600,8.00
2025-09-18,SELL,SPCE,600,7.40
2025-09-18,BUY,ARKK,300,50.00
2025-09-18,SELL,ARKK,300,48.50
