date,action,symbol,quantity,price
2025-09-01,BUY,AAPL,100,180.00
2025-09-01,SELL,AAPL,100,181.50
2025-09-01,BUY,TSLA,150,250.00
2025-09-01,SELL,TSLA,150,252.00
2025-09-01,BUY,NVDA,75,450.00
2025-09-01,SELL,NVDA,75,453.00
2025-09-01,BUY,MSFT,200,300.00
2025-09-01,SELL,MSFT,200,301.00
2025-09-01,BUY,GOOGL,50,2800.00
2025-09-01,SELL,GOOGL,50,2810.00
2025-09-02,BUY,SPY,300,420.00
2025-09-02,SELL,SPY,300,421.50
2025-09-02,BUY,QQQ,200,380.00
2025-09-02,SELL,QQQ,200,382.00
2025-09-02,BUY,META,100,520.00
2025-09-02,SELL,META,100,518.00
2025-09-02,BUY,AMZN,150,180.00
2025-09-02,SELL,AMZN,150,182.00
2025-09-03,BUY,NFLX,80,450.00
2025-09-03,SELL,NFLX,80,448.00
2025-09-03,BUY,AMD,300,120.00
2025-09-03,SELL,AMD,300,121.00
2025-09-03,BUY,COIN,200,150.00
2025-09-03,SELL,COIN,200,148.00
2025-09-03,BUY,ROKU,250,80.00
2025-09-03,SELL,ROKU,250,81.50
2025-09-04,BUY,PLTR,400,25.00
2025-09-04,SELL,PLTR,400,25.50
2025-09-04,BUY,SNAP,500,12.00
2025-09-04,SELL,SNAP,500,12.25
2025-09-04,BUY,UBER,180,35.00
2025-09-04,SELL,UBER,180,35.50
2025-09-04,BUY,LYFT,300,15.00
2025-09-04,SELL,LYFT,300,15.25
2025-09-05,BUY,PINS,350,25.00
2025-09-05,SELL,PINS,350,25.50
2025-09-05,BUY,SQ,120,80.00
2025-09-05,SELL,SQ,120,81.00
2025-09-05,BUY,PYPL,200,85.00
2025-09-05,SELL,PYPL,200,86.00
2025-09-05,BUY,SHOP,80,65.00
2025-09-05,SELL,SHOP,80,66.00
2025-09-08,BUY,ZM,150,70.00
2025-09-08,SELL,ZM,150,71.00
2025-09-08,BUY,DOCU,250,55.00
2025-09-08,SELL,DOCU,250,55.50
2025-09-08,BUY,CRM,100,250.00
2025-09-08,SELL,CRM,100,252.00
