Date,Action,Symbol,Quantity,Price
2024-03-01,BUY,SPY,200,485.20
2024-03-04,BUY,SPY,200,482.10
2024-03-06,BUY,SPY,300,479.85
2024-03-08,BUY,SPY,400,476.25
2024-03-11,SELL,SPY,1100,472.80
2024-03-13,BUY,QQQ,300,360.40
2024-03-15,BUY,QQQ,400,357.90
2024-03-18,SELL,QQQ,700,354.20
2024-03-20,BUY,TQQQ,500,42.80
2024-03-22,SELL,TQQQ,500,39.65
2024-03-25,BUY,NVDA,100,850.30
2024-03-27,BUY,NVDA,200,835.60
2024-03-29,SELL,NVDA,300,821.45
2024-04-01,BUY,TSLA,200,165.80
2024-04-03,BUY,TSLA,300,161.25
2024-04-05,BUY,TSLA,400,158.90
2024-04-08,SELL,TSLA,900,153.20
2024-04-10,BUY,COIN,150,240.50
2024-04-12,BUY,COIN,250,235.20
2024-04-15,SELL,COIN,400,228.80
