date,action,symbol,quantity,price
2025-09-01,BUY,AAPL,10,180.00
2025-09-02,BUY,TSLA,500,250.00
2025-09-03,BUY,NVDA,2000,450.00
2025-09-05,BUY,GOOGL,1,2800.00
2025-09-08,BUY,AMZN,5000,180.00
2025-09-09,BUY,META,25,520.00
2025-09-10,BUY,MSFT,3000,300.00
2025-09-12,BUY,NFLX,100,450.00
2025-09-15,BUY,AMD,50,120.00
2025-09-16,BUY,COIN,10000,150.00
2025-09-17,BUY,ROKU,5,80.00
2025-09-18,BUY,PLTR,50000,25.00
2025-09-19,BUY,SNAP,1,12.00
2025-09-22,BUY,UBER,20000,35.00
2025-09-23,BUY,LYFT,2,15.00
2025-09-24,BUY,PINS,30000,25.00
2025-09-25,BUY,SQ,10,80.00
2025-09-26,BUY,PYPL,15000,85.00
2025-09-29,BUY,SHOP,3,65.00
2025-09-30,BUY,ZM,25000,70.00
2025-10-01,BUY,DOCU,1,55.00
2025-10-02,BUY,CRM,8000,250.00
2025-10-03,BUY,ORCL,5,95.00
2025-10-06,SELL,AAPL,10,172.00
2025-10-07,SELL,TSLA,500,230.00
2025-10-08,SELL,NVDA,2000,420.00
2025-10-09,SELL,GOOGL,1,2650.00
2025-10-10,SELL,AMZN,5000,165.00
2025-10-13,SELL,META,25,485.00
2025-10-14,SELL,MSFT,3000,285.00
2025-10-15,SELL,NFLX,100,425.00
2025-10-16,SELL,AMD,50,110.00
2025-10-17,SELL,COIN,10000,135.00
2025-10-20,SELL,ROKU,5,72.00
2025-10-21,SELL,PLTR,50000,22.00
2025-10-22,SELL,SNAP,1,10.50
2025-10-23,SELL,UBER,20000,32.00
2025-10-24,SELL,LYFT,2,13.50
2025-10-27,SELL,PINS,30000,22.50
2025-10-28,SELL,SQ,10,75.00
2025-10-29,SELL,PYPL,15000,80.00
2025-10-30,SELL,SHOP,3,60.00
2025-10-31,SELL,ZM,25000,65.00
2025-11-03,SELL,DOCU,1,50.00
2025-11-04,SELL,CRM,8000,235.00
2025-11-05,SELL,ORCL,5,88.00
