date,action,symbol,quantity,price
2025-09-01,BUY,AAPL,100,180.00
2025-09-02,SELL,AAPL,100,175.00
2025-09-02,BUY,TSLA,200,250.00
2025-09-03,SELL,TSLA,200,235.00
2025-09-03,BUY,NVDA,300,450.00
2025-09-04,SELL,NVDA,300,425.00
2025-09-04,BUY,AMZN,400,180.00
2025-09-05,SELL,AMZN,400,165.00
2025-09-05,BUY,GOOGL,50,2800.00
2025-09-08,SELL,GOOGL,50,2720.00
2025-09-08,BUY,META,100,520.00
2025-09-09,SELL,META,100,495.00
2025-09-09,BUY,MSFT,200,300.00
2025-09-10,SELL,MSFT,200,285.00
2025-09-10,BUY,NFLX,150,450.00
2025-09-11,SELL,NFLX,150,430.00
2025-09-11,BUY,COIN,300,150.00
2025-09-12,SELL,COIN,300,135.00
2025-09-12,BUY,AMD,400,120.00
2025-09-15,SELL,AMD,400,110.00
2025-09-15,BUY,ROKU,500,80.00
2025-09-16,SELL,ROKU,500,72.00
2025-09-16,BUY,PLTR,800,25.00
2025-09-17,SELL,PLTR,800,22.00
2025-09-17,BUY,SNAP,600,12.00
2025-09-18,SELL,SNAP,600,10.50
2025-09-18,BUY,UBER,300,35.00
2025-09-19,SELL,UBER,300,32.00
2025-09-19,BUY,LYFT,400,15.00
2025-09-22,SELL,LYFT,400,13.50
2025-09-22,BUY,TWTR,500,45.00
2025-09-23,SELL,TWTR,500,41.00
2025-09-23,BUY,PINS,600,25.00
2025-09-24,SELL,PINS,600,22.50
2025-09-24,BUY,SQ,200,80.00
2025-09-25,SELL,SQ,200,75.00
2025-09-25,BUY,PYPL,300,85.00
2025-09-26,SELL,PYPL,300,80.00
2025-09-26,BUY,SHOP,100,65.00
2025-09-29,SELL,SHOP,100,60.00
2025-09-29,BUY,ZM,250,70.00
2025-09-30,SELL,ZM,250,65.00
2025-09-30,BUY,DOCU,400,55.00
2025-10-01,SELL,DOCU,400,50.00
2025-10-01,BUY,WORK,300,40.00
2025-10-02,SELL,WORK,300,36.00
2025-10-02,BUY,CRM,150,250.00
2025-10-03,SELL,CRM,150,235.00
2025-10-03,BUY,ORCL,200,95.00
