date,action,symbol,quantity,price
2025-09-01,BUY,AAPL,100,185.00
2025-09-02,SELL,AAPL,100,180.00
2025-09-03,BUY,AAPL,100,175.00
2025-09-05,SELL,AAPL,100,170.00
2025-09-08,BUY,TSLA,150,255.00
2025-09-09,SELL,TSLA,150,245.00
2025-09-10,BUY,TSLA,150,240.00
2025-09-12,SELL,TSLA,150,230.00
2025-09-15,BUY,NVDA,200,460.00
2025-09-16,SELL,NVDA,200,450.00
2025-09-17,BUY,NVDA,200,445.00
2025-09-19,SELL,NVDA,200,435.00
2025-09-22,BUY,SPY,300,425.00
2025-09-23,SELL,SPY,300,420.00
2025-09-24,BUY,SPY,300,415.00
2025-09-26,SELL,SPY,300,410.00
2025-09-29,BUY,QQQ,250,385.00
2025-09-30,SELL,QQQ,250,380.00
2025-10-01,BUY,QQQ,250,375.00
2025-10-03,SELL,QQQ,250,370.00
2025-10-06,BUY,META,100,525.00
2025-10-07,SELL,META,100,515.00
2025-10-08,BUY,META,100,510.00
2025-10-10,SELL,META,100,500.00
2025-10-13,BUY,AMZN,150,185.00
2025-10-14,SELL,AMZN,150,180.00
2025-10-15,BUY,AMZN,150,175.00
2025-10-17,SELL,AMZN,150,170.00
2025-10-20,BUY,GOOGL,50,2850.00
2025-10-21,SELL,GOOGL,50,2800.00
2025-10-22,BUY,GOOGL,50,2750.00
2025-10-24,SELL,GOOGL,50,2700.00
2025-10-27,BUY,MSFT,200,305.00
2025-10-28,SELL,MSFT,200,300.00
2025-10-29,BUY,MSFT,200,295.00
2025-10-31,SELL,MSFT,200,290.00
2025-11-03,BUY,NFLX,100,465.00
2025-11-04,SELL,NFLX,100,455.00
2025-11-05,BUY,NFLX,100,450.00
2025-11-07,SELL,NFLX,100,440.00
2025-11-10,BUY,AMD,300,125.00
2025-11-11,SELL,AMD,300,120.00
2025-11-12,BUY,AMD,300,115.00
2025-11-14,SELL,AMD,300,110.00
