date,action,symbol,quantity,price
2025-09-01,BUY,TSLA,500,250.00
2025-09-02,BUY,NVDA,800,450.00
2025-09-03,BUY,AMZN,300,180.00
2025-09-04,BUY,GOOGL,200,2800.00
2025-09-05,BUY,AAPL,1000,180.00
2025-09-08,SELL,TSLA,500,235.00
2025-09-08,BUY,TSLA,1000,235.00
2025-09-09,BUY,META,400,520.00
2025-09-10,SELL,NVDA,800,420.00
2025-09-10,BUY,NVDA,1200,420.00
2025-09-11,BUY,SPY,2000,420.00
2025-09-12,BUY,QQQ,1500,380.00
2025-09-15,SELL,AMZN,300,165.00
2025-09-15,BUY,AMZN,600,165.00
2025-09-16,BUY,MSFT,800,300.00
2025-09-17,SELL,GOOGL,200,2650.00
2025-09-17,BUY,GOOGL,400,2650.00
2025-09-18,BUY,NFLX,300,450.00
2025-09-19,SELL,AAPL,1000,172.00
2025-09-19,BUY,AAPL,1500,172.00
2025-09-22,BUY,COIN,500,150.00
2025-09-23,SELL,TSLA,1000,210.00
2025-09-23,BUY,TSLA,2000,210.00
2025-09-24,BUY,AMD,1000,120.00
2025-09-25,SELL,META,400,485.00
2025-09-25,BUY,META,800,485.00
2025-09-26,BUY,ROKU,600,80.00
2025-09-29,SELL,NVDA,1200,390.00
2025-09-29,BUY,NVDA,1800,390.00
2025-09-30,BUY,PLTR,2000,25.00
2025-10-01,SELL,SPY,2000,395.00
2025-10-01,BUY,SPY,3000,395.00
2025-10-02,BUY,IWM,1000,210.00
2025-10-03,SELL,QQQ,1500,365.00
2025-10-03,BUY,QQQ,2500,365.00
2025-10-06,BUY,XLK,800,180.00
2025-10-07,SELL,AMZN,600,152.00
2025-10-07,BUY,AMZN,1200,152.00
2025-10-08,BUY,ARKK,1500,45.00
2025-10-09,SELL,MSFT,800,285.00
2025-10-09,BUY,MSFT,1200,285.00
2025-10-10,BUY,SQQQ,500,15.00
2025-10-13,SELL,GOOGL,400,2520.00
2025-10-13,BUY,GOOGL,800,2520.00
2025-10-14,BUY,TQQQ,800,32.00
2025-10-15,SELL,NFLX,300,425.00
2025-10-15,BUY,NFLX,600,425.00
2025-10-16,BUY,UPRO,400,55.00
