date,action,symbol,quantity,price
2025-09-01,BUY,AAPL,100,180.00
2025-09-01,BUY,MSFT,150,300.00
2025-09-01,BUY,GOOGL,50,2800.00
2025-09-02,BUY,AMZN,120,180.00
2025-09-02,BUY,META,80,520.00
2025-09-03,BUY,NFLX,100,450.00
2025-09-03,BUY,NVDA,150,450.00
2025-09-05,BUY,AMD,200,120.00
2025-09-05,BUY,QQQ,300,380.00
2025-09-08,BUY,XLK,250,180.00
2025-09-08,BUY,VGT,200,450.00
2025-09-09,BUY,TQQQ,400,32.00
2025-09-10,BUY,ARKK,500,45.00
2025-09-12,BUY,SOXL,300,25.00
2025-09-15,BUY,TECL,350,50.00
2025-09-16,BUY,SPXL,200,120.00
2025-09-17,BUY,UPRO,180,55.00
2025-09-18,BUY,TMF,600,20.00
2025-09-19,BUY,TLT,400,95.00
2025-09-22,BUY,IEF,300,105.00
2025-09-23,BUY,SHY,500,82.00
2025-09-24,BUY,TBT,250,15.00
2025-09-25,BUY,PST,200,40.00
2025-09-26,BUY,EDV,150,85.00
2025-09-29,BUY,VGIT,300,60.00
2025-09-30,BUY,GOVT,400,25.00
2025-10-01,BUY,TIPS,250,115.00
2025-10-02,BUY,SCHZ,350,48.00
2025-10-03,BUY,FLOT,300,50.00
2025-10-06,BUY,JPST,400,50.50
2025-10-07,BUY,MINT,500,50.00
2025-10-08,BUY,NEAR,300,50.25
2025-10-09,BUY,ICSH,350,50.10
2025-10-10,BUY,BIL,400,91.50
2025-10-13,BUY,SHV,450,110.00
2025-10-14,BUY,SGOV,300,100.50
2025-10-15,SELL,AAPL,100,172.00
2025-10-15,SELL,MSFT,150,285.00
2025-10-15,SELL,GOOGL,50,2650.00
2025-10-16,SELL,AMZN,120,165.00
2025-10-16,SELL,META,80,485.00
2025-10-16,SELL,NFLX,100,425.00
2025-10-17,SELL,NVDA,150,420.00
2025-10-17,SELL,AMD,200,110.00
2025-10-17,SELL,QQQ,300,365.00
