date,action,symbol,quantity,price
2025-09-01,BUY,TSLA,100,250.00
2025-09-01,SELL,TSLA,100,248.00
2025-09-01,BUY,TSLA,200,252.00
2025-09-01,SELL,TSLA,200,249.00
2025-09-01,BUY,NVDA,150,450.00
2025-09-01,SELL,NVDA,150,447.00
2025-09-01,BUY,NVDA,300,452.00
2025-09-01,SELL,NVDA,300,448.00
2025-09-02,BUY,AAPL,200,180.00
2025-09-02,SELL,AAPL,200,178.00
2025-09-02,BUY,AAPL,400,182.00
2025-09-02,SELL,AAPL,400,179.00
2025-09-03,BUY,AMZN,100,180.00
2025-09-03,SELL,AMZN,100,177.00
2025-09-03,BUY,AMZN,250,183.00
2025-09-03,SELL,AMZN,250,180.00
2025-09-05,BUY,GOOGL,30,2800.00
2025-09-05,SELL,GOOGL,30,2790.00
2025-09-05,BUY,GOOGL,60,2810.00
2025-09-05,SELL,GOOGL,60,2795.00
2025-09-08,BUY,META,80,520.00
2025-09-08,SELL,META,80,515.00
2025-09-08,BUY,META,150,525.00
2025-09-08,SELL,META,150,518.00
2025-09-09,BUY,MSFT,120,300.00
2025-09-09,SELL,MSFT,120,298.00
2025-09-09,BUY,MSFT,250,302.00
2025-09-09,SELL,MSFT,250,299.00
2025-09-10,BUY,NFLX,70,450.00
2025-09-10,SELL,NFLX,70,447.00
2025-09-10,BUY,NFLX,140,453.00
2025-09-10,SELL,NFLX,140,449.00
2025-09-12,BUY,AMD,200,120.00
2025-09-12,SELL,AMD,200,118.00
2025-09-12,BUY,AMD,400,122.00
2025-09-12,SELL,AMD,400,119.00
2025-09-15,BUY,COIN,150,150.00
2025-09-15,SELL,COIN,150,147.00
2025-09-15,BUY,COIN,300,152.00
2025-09-15,SELL,COIN,300,148.00
2025-09-16,BUY,ROKU,100,80.00
2025-09-16,SELL,ROKU,100,78.00
2025-09-16,BUY,ROKU,200,82.00
2025-09-16,SELL,ROKU,200,79.00
2025-09-17,BUY,SNAP,300,12.00
2025-09-17,SELL,SNAP,300,11.80
2025-09-17,BUY,SNAP,600,12.20
2025-09-17,SELL,SNAP,600,11.90
